"";"sk_id";"clean_comments"
"26";1000025;"Elke dag 6-8 duizend besmettingen en relatief lage doden. Dat zegt best veel over o zo gevaarlijk virus"
"27";1000026;""
"28";1000027;""
"29";1000028;""
"30";1000029;"Als het echt zou gaan om gezondheid waarom wordt er dan niets gedaan aan gezonde voeding en levens stijl. En stop je met de btw op verse groente en fruit per direct waar artsen al jaren om vragen. Waarom dan steeds weer belangenverstrengenling en onzinnige maatregelen zoals momdkapjes waarvam we al 7 maanden horen dat ze niet werken en we zeker geen medische mondkapjes mogen gebruiken die enig sinds wel kunnen werken. Need i say more"
"31";1000030;"10:43 has the best"
"32";1000031;"En ja de efteling mag weer openblijven 15000 man per dag worden daar de atrackties ontsmet na elk ritje nee die hadden ze dicht moeten doen en de resturants open laten mafkezen"
"33";1000032;""
"34";1000033;"Start 7:15"
"35";1000034;""
"36";1000035;"Ga je lekker hugo 1:13:00 die vent is niet gezond dat wisten we al echter zie het bewijs."
"37";1000036;""
"38";1000037;""
"39";1000038;""
"40";1000039;""
"41";1000040;""
"42";1000041;""
"43";1000042;""
"44";1000043;""
"45";1000044;""
"46";1000045;""
"47";1000046;""
"48";1000047;""
"49";1000048;"33:34 Waar gaan we die in steken dan 46:56 en die"
"50";1000049;""
"51";1000050;""
"52";1000051;""
"53";1000052;""
"54";1000053;""
"55";1000054;""
"56";1000055;""
"57";1000056;""
"58";1000057;"23:18 2021 niet 2020"
"59";1000058;"22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen. "
"60";1000059;""
"61";1000060;"edwin72"
"62";1000061;""
"63";1000062;""
"64";1000063;""
"65";1000064;""
"66";1000065;""
"67";1000066;""
"68";1000067;""
"69";1000068;"Jules2020"
"70";1000069;"1 Trending "
"71";1000070;""
"72";1000071;""
"73";1000072;""
"74";1000073;"34 jaar lang al studeer ik geneeskunde en natuurgeneeskunde er zijn vele middelen in de natuur te vinden die uistekend werken bij virussen e.d. maar nee Hugo wil persee zijn vaccins er door drukken reden al miljoenen aan het contract uitgegeven"
"75";1000074;""
"76";1000075;""
"77";1000076;""
"78";1000077;""
"79";1000078;""
"80";1000079;""
"81";1000080;""
"82";1000081;""
"83";1000082;""
"84";1000083;""
"85";1000084;"En wederom 1 grote spamzooi. De regering dwingt de horeca het faillisement in en is druk bezig met het kiezen van de volgende branche om te verzieken. Ze zeggen advies van experts op te volgen maar volgens het Outbreak Management Team had de horeca open kunnen blijven. Ze willen gewoon onschuldige bedrijfseigenaren de vernieling in helpen. Ik hoop dat er een enorme rechtzaak komt die de overheid dwingt miljoenen euros te betalen aan de gedupeerde bedrijven. Ze zeggen het virus een halt te willen toeroepen maar ze weigeren voldoende mensen te testen of een vaccin in te kopen. Het moet nu eindelijk afgelopen zijn met die destructieve nonsens. Regering afzetten. Nieuwe verkiezingen. En NOS: Kappen met spammen van misinformatie en propaganda. Jullie job is om kritische vragen te stellen en tot nu toe hebben we dat nog niet gezien."
"86";1000085;""
"87";1000086;""
"88";1000087;""
"89";1000088;""
"90";1000089;""
"91";1000090;"699k weergaven NICE "
"92";1000091;""
"93";1000092;""
"94";1000093;""
"95";1000094;""
"96";1000095;"1 Trending"
"97";1000096;""
"98";1000097;""
"99";1000098;""
"100";1000099;""
"101";1000100;""
"102";1000101;"Ik hoop gewoon dat we dit schooljaar geen examens gaan maken want de 4de jaars van vorig jaar hadden kapot veel geluk ze hoeften geen examens te maken"
"103";1000102;""
"104";1000103;""
"105";1000104;""
"106";1000105;"Niemand heeft het over 1:13:00 Hugo wordt zwaar gemindcontrolled of zit gewoon aan de snuif. MK Ultra"
"107";1000106;""
"108";1000107;"500k Lets go"
"109";1000108;"Wie nu nog geloofd dat we een virus vechten moet echt opgenomen worden Bekijk de grafieken en de cijfers van het RIVM en de WHO IFR 0.13 en je ziet dat we genaaid worden. Het RIVM is nog steeds tegen de zin van de mondkapjes zoals ze steeds vaker een h l klein beetje aan het opschuiven zijn. Maar niet getreurd daar is het RED TEAM dit TEAM schuif erin waar het RIVM eruit schuift. ALLES IS GE NSCENEERD het script loopt op rolletjes. Ook is de groep die KRITISCH DENKT voorgoed tegen de meelopers opgezet. We hebben te lang thuisgezeten. Ook nu zal de horeca NIET opstaan. Omdat ze de horeca precies een maand moeten sluiten. zullen ze er alles aan doen om deze maand te overbruggen en met veel pijn en moeite en het laatste restje spaargeld gebruiken. Ze houden zich dus gedeisd . De spoedwet zal rond de verkiezingen aflopen dus komt er vanuit de politiek de belofte dat wanneer je op de VVD of het CDA stemt de spoedwet zal worden be indigd of elke andere variant. We komen hier niet meer uit zonder daadwerkelijk een halt toe te roepen aan deze waanzin en polarisatie. Ik ben benieuwd"
"110";1000109;""
"111";1000110;""
"112";1000111;""
"113";1000112;""
"114";1000113;""
"115";1000114;""
"116";1000115;""
"117";1000116;""
"118";1000117;""
"119";1000118;""
"120";1000119;"Mag ik nog met meer dan 4 mensen in de klas zitten"
"121";1000120;"Waarom moet je 1 5 meter afstand nemen om de ander de ruimte te geven waarom wordt dan de ruimte beperkt in de gebouwen en op straat looproutes hindernissen"
"122";1000121;""
"123";1000122;"9:30 mijn voorhoofd doet nogsteeds pijn"
"124";1000123;""
"125";1000124;""
"126";1000125;""
"127";1000126;""
"128";1000127;""
"129";1000128;"Konden de eerste 7 minuten er niet uit geknipt worden "
"130";1000129;""
"131";1000130;"kennismaking van het virus in je neus keel en mond zal gewoon nooit stoppen. Deze 3 delen van zijn enorm sterke afweermechanisme. PCR is een fars"
"132";1000131;"nos journaal de boven de 18 gaan de wedstrijd toch niet door aleen maar jughd voetbal gaat wel toch door"
"133";1000132;""
"134";1000133;"Waarom zijn kinderen onder 13 niet besmetelijk en kunnen die niks overdtagen"
"135";1000134;""
"136";1000135;""
"137";1000136;""
"138";1000137;"Wat mij het meest irriteert aan dit soort maatregelen is dat het niets gaat oplossen. Ja de besmettingen gaan omlaag op korte termijn maar dan gaat er weer meer open dan gaan we even uitstellen en dan weer dit soort maatregelen terwijl er op een externe oplossing vaccin wordt gehoopt. Er is geen doel geen streven slechts eindeloze corona maatregelen in het vooruitzicht terwijl we dweilen met de kraan open. Waarom wordt er niet praktisch gekeken naar het probleem en proberen we met langere termijn oplossingen te komen Je zou zeggen dat we nu veel meer weten dan 7 maanden geleden. Zoals het inzetten van mensen die het virus al hebben gehad mensen die weinig risico lopen door laten gaan en het te laten krijgen. Of we nou op een vaccin wachten of niet we gaan hoe dan ook uit van groepsimmuniteit. Er worden miljarden besteed aan corona maatregelen maar weinig tot niets aan extra laboratoria en ziekenhuizen zelfs een loonverhoging of bonus zit er in die sector niet in. We weten corona cijfers van verschillende wijken maar doen daar letterlijk niets mee behalve er een politiek / ideologische discussie over te hebben . Nu moeten mondkapjes toch terwijl er de hele tijd werd gezegd dat die dingen niet werkte. Nog steeds wordt er weinig tot niets van verantwoordelijkheid bij mensen zelf neergelegd over algemene gezondheid. Of het nou gaat om obesitas roken drinken of vele andere dingen die mogelijk bij de gezondheid en specifiek dit virus kunnen helpen. Het enige wat er wordt gedaan is de vrijheid van mensen af te pakken en als ik om mij heen kijk denk ik niet dat veel mensen het deze keer weer zo serieus gaan nemen als de eerste keer. Nogmaals we hebben meer gerichte aanpak nodig een doel om naar te streven. Niet slechts collectief maar ook individueel. Anders zie ik hierin geen oplossing."
"139";1000138;""
"140";1000139;""
"141";1000140;""
"142";1000141;""
"143";1000142;""
"144";1000143;"2:32 I like that "
"145";1000144;"Covid-19 is heel stom toch "
"146";1000145;""
"147";1000146;""
"148";1000147;""
"149";1000148;"Hoezo wisselen gebarentolk 10minuten voordat het is afgelopen"
"150";1000149;""
"151";1000150;""
"152";1000151;""
"153";1000152;""
"154";1000153;""
"155";1000154;""
"156";1000155;""
"157";1000156;""
"158";1000157;"Rutte: Ik geloof in de kerk . En wat ik begrepen heb is dat daar een uitzondering is om meer dan 30 man te hebben"
"159";1000158;""
"160";1000159;""
"161";1000160;""
"162";1000161;""
"163";1000162;""
"164";1000163;""
"165";1000164;""
"166";1000165;""
"167";1000166;"2:44 Beautiful love u"
"168";1000167;""
"169";1000168;"10:43 has the best "
"170";1000169;"dus je wilt me zeggen dat toen er mindere besmettingen waren alle scholen dicht moesten voor 6 maanden lang en nu staan we op nr.1 van de meeste besmettingen van europa en moeten we nog naar school"
"171";1000170;""
"172";1000171;""
"173";1000172;""
"174";1000173;""
"175";1000174;""
"176";1000175;""
"177";1000176;""
"178";1000177;""
"179";1000178;"Nog even een vraag zie steeds meer ongeruste berichten van artsen en specialisten over de maatregelen. Waarom word er niet gereageerd.op de brandbrieven Waarom moeten wij een mondkapje op het RIVM raadt het zelfs af. Daarbij lijden er in ons land ruim 600.000 mensen aan COPD kan het rechtvaardig zijn die mensen hun zuurstof nog verder te ontnemen Volgens mij staat de hele wereld in brand zie overal ter wereld demo s en daar word buitensporig geweld gebruikt ook in nederland door overheid Dus waarom al die bezorgdheid als alle mensenrechten geschonden worden. Ik heb genoten van de demo in berlijn met met anderhalfmiljoen mensen Robert Kenedy had een mooie toespraak is dat de Nederlandse pers ontgaan Niet erg professioneel....."
"180";1000179;""
"181";1000180;""
"182";1000181;""
"183";1000182;""
"184";1000183;""
"185";1000184;""
"186";1000185;"Pas op rond de avondtijd looptie buiten :0"
"187";1000186;""
"188";1000187;""
"189";1000188;""
"190";1000189;""
"191";1000190;"nee man omdat de coffeeshop eerder dicht gaat is het drukker geworden het kon beter tot 12 uur open blijven grote fout "
"192";1000191;""
"193";1000192;""
"194";1000193;"Rutte: Het onderwijs is te belangrijk om te sluiten Maar beste meneer Rutte weet ook dat als hij de scholen nu niet sluit dat het over 2 weken gebeurd misschien moet u zelf realistisch worden."
"195";1000194;""
"196";1000195;""
"197";1000196;"Alles gebazeerd op cpr testsen. Die metode werkt niet Na 8 maanden ken ik NIEMAND met bevestigdt corona. Rive reagering en de WHO is corrupt"
"198";1000197;""
"199";1000198;"5 groeps immuniteit in een half jaar dus dat is 6 jaar zo doorgaan om aan de 60 te komen ..."
"200";1000199;""
"201";1000200;""
"202";1000201;"2:32 I like that "
"203";1000202;"Na 20:00 uur geen alcohol verkoop meer.....zal het om 19:45 denk aardig druk worden hahahaha wat een onzin allemaal."
"204";1000203;""
"205";1000204;""
"206";1000205;"Wanneer je jaar word verpest door een virus die 95 procent van de keren verslaanbaar is. En alleen oudjes en zieke er aan dood gaan.................... Couldnt be me."
"207";1000206;""
"208";1000207;"l Tja iedereen weet dat dit niet zijn eigen mening is. Toch knapt hoe hij het verkoopt. Maar goed Rutte is net als de rest van de regering intelligent genoeg om te weten dat er helemaal geen covid drama is.Het probleem is dat vrijwel ALLE partijen van de 2de kamer worden aangestuurd vanuit het politieke machtscentrum in de EU. DAAR ligt nu de wetgevende macht meer in het bijzonder bij de ondemocratische ongekozen EU commissie. En aangezien we deze wetgevers niet weg kunnen stemmen zijn ze gevoelig voor corruptie en zo voert de EU nu het beleid uit van de hoogstbiedende miljardair in ons geval george S. Zolang hij lockdowns wil overal in de de EU komen ze en blijven ze. Nederland heeft NIETS te willen en Rutte als liberale pragmaticus heeft gewoon zijn ziel verkocht aan de duivel. Letterlijk. Let wel deze meneer George S net als bill G en de hele WEF zijn uiteindelijk helemaal niet ge nteresseerd in een groene rebuilt van de economie. sterker nog They could not care less dus groene gekkies in het kabinet: knoop het in je oren je KUNT helemaal geen kapotte economie opbouwen met schuld. Groen geel paars maakt niet uit. Het KAN niet en dat weten deze heerschappen. Het is slecht een schijnbelofte om jullie en ons mee te krijgen in de zelf vernietiging. Hun eindelijke doel is immers eugenetica met een nadruk op bevolkingsreductie c.q. decimering. Dat is de rode draad in AL hun vroegere presentaties. Dat is waarom ze zo voortvarend de wereld economie aan het vernielen zijn met de corona lockdowns die ze nota bene zelf hebben gehyped. Decimering van de wereldbevolking is het doel. Vervolgens wat er nog over blijft van de mensheid moet beroofd worden van alle vrijheden en vrije beroepen. Dat is waarom overal juist de boeren MKB en ZZP ers worden uitgeroeid. Ik stel voor dat we het kabinet op de man of vragen of ze inderdaad minimaal 1x per week contact hebben met George S en zoon om de voortgang van hun eeuwige lockdown plannen voor NL te evalueren. Vraag Rutte op de man af of hij onder druk wordt gezet van uit de EU/george en zeg hem dat hij 2x met zijn ogen mag knipperen als teken van ja . Ik denk dat het hele kabinet vervolgens met hun ogen gaat knipperen...chips en zoutjes erbij dat wil ik graag zien en dan pas komen we ergens FVD Noem het beest dus bij zijn naam..."
"209";1000208;""
"210";1000209;""
"211";1000210;"Iedereen de 4 fases goed bekeken Er is geen fase 0 terug naar normaal Dit kabinet moet weg en mag nooit meer terug komen nooit Gaat lekker zo Rutte weer een grote stap gemaakt met het kapot maken van de economie. Plus punt is weer meer mensen die nooit meer op dit kabinet zullen stemmen. Geen enkele maatregel zal helpen de kennismaking van het virus in je neus keel en mond zal gewoon nooit stoppen. Deze 3 delen van zijn enorm sterke afweermechanisme. PCR is een fars"
"212";1000211;""
"213";1000212;""
"214";1000213;""
"215";1000214;""
"216";1000215;""
"217";1000216;"Virus is niet vatbaar voor corrupte politici waar is het bewijs dat covid19 geisoleerd is volgens de gouden standaard"
"218";1000217;""
"219";1000218;"Je hebt het over samen zijn maar wilt wel de discussie vermijden. Het discussie wat jullie noemen is juist wat jullie nodig hebben om berhaupt een balans op te maken. Want de wereld waarin jullie leven is niet hoe het in werkelijkheid is. Zoals scholen. De besmettingen op scholen lopen op. Het is bekend dat de corona pas na een week ongeveer zijn symptomen laat zien. Ik als jong vrouw die hartpatient is met 4 kinderen waarvan 2 naar middelbare school gaat en 2 naar basisschool gaat zitten nu in een omgeving waarvan bekend is bij GGD en bij RIVM dat de besmettingen giga snel oploopt. Ik snap niet waarom jullie je zo erg druk maken om caf s openbare plekken waar misschien tussen 20 en 150 mensen kunnen bevinden terwijl je een school met max 1500 niet aanpakt Het is bekend dat de dragers kinderen zijn. Vandaar ook de leeftijd grens van 13 jaar. We moeten scholen weer veilig mogelijk maken samen met de andere gezamelijke plekken. Dit is comment om discussie aan te gaan dit is een feit wat aangepakt moet worden."
"220";1000219;"Gelukkig krijgen mensen op de vliegvelden uit rode landen en ook de landen die geen cijfers vrij geven n briefje voor ze zonder controle naar huis toegaan met n dringend advies maar de white collars geven de horeca en de amateursport de schuld misschien de grenzen eens nader bekijken voordat Je n heel land naar de ...........helpt. ALLE supermarkten n bord met verplicht mondkapje ter bescherming v ons personeel hoeven ze niet juridisch na te denken in Den Haag scheelt weer 7 maanden. "
"221";1000220;""
"222";1000221;""
"223";1000222;""
"224";1000223;""
"225";1000224;""
"226";1000225;""
"227";1000226;""
"228";1000227;"En het gaat niet om aantal besmettingen maar aantal opnames/doden die zijn minimaal . Aantal IC-bedden in 2015 : 2200. Aantal IC-bedden nu is nog minder dan de helft dus gek h dat het lijkt of ziekenhuizen overvol liggen. Bovendien moeten IC s altijd vol liggen omdat lege IC-bedden geld kosten dat is effici nt een ziekenhuis runnen. Ruttzak heeft jarenlang de IC bedden wegbezuinigd met het oog op deze plandemie om angst te zaaien en daarna de werelddictatuur in te voeren check de website van het World Economic Forum en Dr. Klaus Schwab en zijn boek: The Great Reset . Er bestaat ook niet zoiets als een werkend vaccin of groeps immuniteit tegen welk virus dan ook omdat virussen elke dag muteren anders bestond er ook allang een vaccin tegen aids of ebola."
"229";1000228;""
"230";1000229;""
"231";1000230;""
"232";1000231;""
"233";1000232;""
"234";1000233;""
"235";1000234;""
"236";1000235;""
"237";1000236;""
"238";1000237;"Bizar dat de Nederlandse regering kopt geen vaccin in Rusland ze testen inmiddels al de tweede. Tot nu toe er zijn meer dan 40 landen die deze vaccin in Rusland al besteld hebben. Is dat dan geen goede oplossing voor iedereen Trouwens ze zijn de besten ter wereld wat vaccinatie betreft."
"239";1000238;""
"240";1000239;""
"241";1000240;""
"242";1000241;""
"243";1000242;""
"244";1000243;"Iedereen met een werkend waarnemingsvermogen heeft inmiddels gezien dat de wereldwijde corona-campagne niets met volksgezondheid te maken heeft. Wat is dan WEL de bedoeling WAAROM deze wereldwijde campagne Met welk doel Het doel is totale herinrichting van de wereld. Gebruik makend van beschikbare technologie. Stap voor stap: 1- Het vernietigen van alle bestaande sociale en economische structuren 2- De gehele mensheid daarmee in totale schaarste en ontreddering brengen 3- Vervolgens introduceren van centrale/digitale rantsoenering op absoluut bestaansminimum . Van leven naar overleven. Het systeem bepaalt wie overleeft en wie niet 4- Het massaal uitdunnen en verzwakken van de wereldpopulatie via vaccins en verhongering 5- Het installeren van de digitale dictatuur. Voor ieder individueel gedrag/consumptie is digitale toestemming/toegang vereist 6- Totale digitale surveillance op individueel niveau. Uitsluiting als bestraffingsmethode. Ongewenst gedrag Geen toegang tot levensbehoeften Ongehoorzaamheid Sterven 7- Overbodig maken van handhaving door politie en justitie. Het digitale systeem is bepalend. Nee is nee. Met een computersysteem valt niet te discussi ren 8- Het centrale digitale systeem bestuurt alle mensen. Privileges voor gehoorzame mensen. Uitsluiting voor ongehoorzame 9- De bestuurders zijn anoniem en bevinden zich aan de andere zijde van de digitale muur. De wereld wordt door hen digitaal geregeerd vanaf n plek. n wereldregering dus 10- Alle mensen op de wereld worden vanaf n centrale plek bestuurd. Zonder de mogelijkheid zich daaraan te onttrekken of er effectief bezwaar tegen te maken 11- Afschaffen van geld en vervangen door toegekende of afgenomen privilegepunten op basis van gewenst/ongewenst gedrag 12- Totale centrale controle van ieder individu op de wereld. De eigenaren van het systeem bepalen via de technologie hoe en waar iedereen woont welk werk hij/zij doet wat hij/zij buiten het werk doet wat hij/zij consumeert en wanneer en wat hem/haar is toegestaan. En wat niet. Om dit mogelijk te maken moet de samenleving eerst worden vernietigd. Wie een nieuw gebouw wil neerzetten moet het bestaande immers eerst slopen. De corona-campagne is de start van de sloop. De maatregelen zullen de gewenste ineenstorting veroorzaken. De ineenstorting zal een ongekende humanitaire ramp veroorzaken. De humanitaire ramp zal het nieuwe systeem rechtvaardigen . Alleen onze massale weigering mee te gaan met de maatregelen kan dit scenario voorkomen. Het goede nieuws is dat we daartoe op ieder moment kunnen besluiten. Het eindresultaat wordt dus door ons bepaald. "
"245";1000244;"Corona killer Wat te denken van fast food Ketens mensen die zich daar vet zitten te vreten bij KFC mac enz . 17 miljoen doden per jaar wereld wijd . Rutte Al s je zo bezorgt bent om de bevolking bescherm ze dan ook hier tegen . met een speciale app voor 1 hamburger per maand . "
"246";1000245;"Wat is er nu anders dan een half jaar geleden Ging met 1.5 meter en handen wassen de curve ook niet gewoon omlaag Vanwaar dit paniek voetbal met die kansloze mondkapjes opeens Omdat er draagvlak bestaat vanuit de onderbuik van het electoraal is geen reden om maar regeltjes de wereld in te helpen Worden de wetenschappers berhaupt nog wel gehoord"
"247";1000246;"30 man. Dag baan Het was leuk je te kennen. Hmmmm...wel leuk om na te denken wat je kan worden na je veertigste. Kan ik nu toch nog zeggen Wat ga ik worden als ik later groot ben."
"248";1000247;""
"249";1000248;"Hoe gek is het als er 6 a 7000 nieuwe besmettingen zijn per dag en er toch maar 197 nieuwe ziekenhuisopnames gisteren zijn geweest en daarvan maar 14 op de IC belanden volgens de officiele gegevens van de Nos maar wat zeggen deze cijfers nu werkelijk Wat wij volgens Rutte moeten geloven is van een geheel andere aard .dan deze officiele gegevens ons vertellen. Wat is er met die overige ca 5800 besmette personen gebeurt zijn zij medicatie aangeboden of naar huis zijn gestuurd met een paracetamolletje of hebben deze mensen nergens last van als het laatste het geval is dan begrijp ik werkelijk niets van al deze maatregelen. Het is niet meer dan wat er met een gewoon griepvirus gebeurt. Er wordt ons ook niet verteld hoelang de gemiddelde ziekenhuisopname daadwerkelijk duurt"
"250";1000249;""
"251";1000250;"Geen testen geen paniek geef me de sterftecijfers en niet testgevallen die onbetrouwbaar zijn. Gewoon teveel mensen die hopen op 2 weken vakantie want word toch wel betaald he.."
"252";1000251;"Persconferentie vol commerciele advertenties Zijn ze helemaal gek geworden Gauw naar het einde en dan op replay klikken. Daarna naar 7:13 skippen voor het begin."
"253";1000252;"Klopt het rekensommetje van De Jong wel op 43:00 Ik kom namelijk op 1 op de 1250 mensen....."
"254";1000253;""
"255";1000254;"Nieuwste video van dumb en dumber staan reacties uit goh hoe zou dat nou komen Leugens leugens leugens hoeveel ic bedden zijn er bijgekomen laatste 7 maanden dan We worden massaal voor de gek gehouden de overheid heeft zich tegen het volk gekeerd "
"256";1000255;""
"257";1000256;""
"258";1000257;""
"259";1000258;"in juni juli augustus waren er geen kroontoeristen kwamen voor 3 maanden om geld in hun portemonnee te kunnen stoppen nu zijn er geen toeristen er is alleen jij laat mensen werkloos achter voor de lagere klasse voor de arbeiders denk je wat ze zullen eten met wat je wilt Betaal de huizen met wat de kinderen voor je zullen zorgen. Goed vanuit huis ga je werken en je geld aannemen 3 maanden geleden was het goed toen de hotels werkten de restaurants je hebt het gas gewonnen nu heb je een kroon en we zullen in China zitten met maskers ze droegen altijd maskers en wat gebeurde ze werden weer ziek ze raakten besmet er is geen vaccin maar de zieken zijn genezen alles is een leugen"
"260";1000259;"Mondkapje in de open buitenlucht verplicht als zij het juridisch voorelkaar gaan krijgen Rutte gelooft dat een mondkapje waarvan de gaatjes tot 333 keer groter zijn dan een virus gaat helpen tegen het verspreiden van Coronagriep Dat gaat natuurlijk niet."
"261";1000260;"Rutte en jou beste vriend de Jonge geef ons nog MEER van die maatregelen DIE vinden we leuk daarom doen mensen ook de PCR-test en zo krijgen we weer nieuwe regels beperkingen dat wel:maar we willen ze graag gelukkig is er nu een SNEL-test dus krijgen we misschien nog MEER besmettingen MOOI we zien al uit naar de volgende persconferentie en toen zover al bedankt.We zijn er zo blij mee.10 jaar VVD super."
"262";1000261;""
"263";1000262;""
"264";1000263;""
"265";1000264;""
"266";1000265;""
"267";1000266;""
"268";1000267;""
"269";1000268;""
"270";1000269;"Ze weten het zelf niet meer eerste maanden van 2020 vaccins we leven al 10 maand in 2020"
"271";1000270;""
"272";1000271;"Mondkapjes oke leuk enzo maar ik droeg het op me werk en werd er heel heel erg ziek van. Ik kreeg zuurstof zelfs te kort en migraine aanvallen waarvan ik dacht dat ik er vanaf was en je ademt weer hetzelfde in.. dus we kunnen het wel op hebben maar het helpt miss maar 10 amper.. gelukkig krijg ik zon scherm op me werk dat ik wel zuurstof heb maar kom op zo langer hiermee doorgaan.."
"273";1000272;""
"274";1000273;""
"275";1000274;""
"276";1000275;"Bij de griep gaat men u vertellen dat u het beste in bed kunt gaan liggen en het uitzieken.Mocht het erger worden krijgt u een kuur.Bent u oud en sterft aan de griep zeggen ze...hij was al oud en de griep werd hem te veel. Heeft u Astma en u krijgt de griep zeiden ze.....maar ze was ook al ziek en de griep werd haar te veel/Nu moet elke persoon die de griep krijgt ineens in het ziekenhuis en als ze 2 keer hoesten per uur moet je naar de ic. U mag mij een wappie noemen maar ik weet wel beter.Het is een grote leugen. U moet weer terug naar de jaren 30 van de vorige eeuw.Braaf zijn en somber leven. Maar de geschiedenis zal zich herhalen en de Girondijnen zullen weer op staan.Niet dat ik daar een voorstander van ben maar je mag ze wel in een diep gat gooien.Laat het hoofd er maar op zitten."
"277";1000276;"Je moet vanaf 13 jaar met minimaal 4 mensen. Waarom gaan we dan nog naar school"
"278";1000277;""
"279";1000278;"Wat Horeca dicht dus kan ik 4 weken niet naar de snackbar NEEEEEEEEEEEEEEEEEE "
"280";1000279;""
"281";1000280;"In Nederland Sinds de invoering van de Co rdinatiewet uitzonderingstoestanden in 1996 kent Nederland twee soorten van noodtoestand: beperkte noodtoestand en algemene noodtoestand . Als de regering bij koninklijk besluit de beperkte of algemene noodtoestand afkondigt en dit besluit in het Staatsblad wordt gepubliceerd kunnen allerlei noodmaatregelen worden doorgevoerd. Die noodmaatregelen worden genoemd in wetten als de Wet buitengewone bevoegdheden burgerlijk gezag de Oorlogswet voor Nederland Noodwet rechtspleging Wet verplaatsing bevolking Wet militaire inundati n Kaderwet dienstplicht Inkwartieringswet Vervoersnoodwet Havennoodwet Hamsterwet Distributiewet Vorderingswet Noodwet voedselvoorzieningen Noodwet arbeidsvoorziening Noodwet geneeskundigen Noodwet financieel verkeer en de Vaarplichtwet. De overheid kan dan bijvoorbeeld overgaan tot evacuatie van de bevolking het vorderen van allerlei hulpkrachten en hulpmiddelen gebieden tot verboden gebied verklaren of een avondklok instellen. In geval van een naderende dijkdoorbraak kan een noodtoestand worden uitgeroepen. Diverse zogenaamde noodverordeningen kunnen dan van kracht worden. Een waterschap kan tot directe versterking van waterkeringen overgaan zonder overleg met eigenaren pachters of andere betrokkenen. Wikipedia."
"282";1000281;""
"283";1000282;"W8 maar onze kans komt.. en ik haal je op"
"284";1000283;""
"285";1000284;""
"286";1000285;""
"287";1000286;""
"288";1000287;""
"289";1000288;""
"290";1000289;""
"291";1000290;""
"292";1000291;"Nice 36:14"
"293";1000292;"Nice 36:14"
"294";1000293;""
"295";1000294;""
"296";1000295;""
"297";1000296;""
"298";1000297;""
"299";1000298;""
"300";1000299;""
"301";1000300;""
"302";1000301;"Iedereen naar het malieveld morgen 1700 uur"
"303";1000302;""
