,Unnamed: 0,sk_id,clean_comments,comment_lemma
11,12,1000011.0,Let maar niet op mij. Ik ben hier alleen om met een bakje popcorn te genieten van de comments.,letten maar niet op mij. Ik zijn hier alleen om met een bak popcorn te genieten van de comments.
12,13,1000012.0,HAAAAAAANS TIMMER DE RAMEN DICHT HANS,HAAAAAAANS TIMMER DE raam dicht HANS
13,14,1000013.0,De IFR infection fatality rate van Covid-19 is 0 23 voor alle leeftijden en de veel meer zeggende IFR voor onder de 70 is 0 05 .,De IFR infection fatality rate van covid-19 is 0 23 voor al leeftijd en de veel veel zeggen IFR voor onder de 70 is 0 05 .
14,15,1000014.0,nee man omdat de coffeeshop eerder dicht gaat is het drukker geworden het kon beter tot 12 uur open blijven grote fout,nee man omdat de coffeeshop eerder dicht gaan is het druk geworden het kunnen goed tot 12 uur open blijven groot fout
15,16,1000015.0,Zorg is de laatste jaren kapot bezuinigd onder het toeziend oog van Rutte De economie gaan nu kapot door slechte beslissingen destijds. Sterker nog de griep van 2017 / 2018 met toen nog 2340 ic bedden incl. bijbehorend personeel had ook geen 1100 ic bedden moeten hebben. Les niet geleerd,zorgen is de laten jaar kapot bezuinigen onder het toezien oog van Rutte De economie gaan nu kapot door slecht beslissing destijds. sterk nog de griep van 2017 / 2018 met toen nog 2340 ic bed incl. bijbehorend personeel hebben ook geen 1100 ic bed moeten hebben. Les niet leren
16,17,1000016.0,Het kleine voedsel tentje moet dicht maar walibi blijft gewoon open hahahah. 2 maanden terug was ik in walibi. Anderhalve meter werd er in de rij totaal niet gehouden door jong en oud ontsmetten van karretjes gebeurd ook niet iedereen zit er aan. Stel iemand in de achtbaan heeft corona en schreeuwt dan krijgt diegene achter zich het waarschijnlijk in de mond. stadium mag je ook niet schreeuwen Ook vorige week als het regent gaat iedereen natuurlijk schuilen knus en wel naast elkaar. Er is in een park misschien meer ruimte maar dat zegt totaal niet dat mensen de 1.5 meter aanhouden er is ook bijna geen toezicht op. Bij een kleine snackbar ontsmetten de bediendes en is er een duidelijk overzicht wie zich aan de regels houd. en komt er veel minder man over de vloer dan een pretpark. Binnen 1 dag kunnen er meer corona besmettingen in een pretpark ontstaan waar niet word ontsmet dan een kleine snackbar met toezicht en een max van een aantal man binnen.,het klein voedsel tent moeten dicht maar walibi blijven gewoon open hahahah. 2 maand terug zijn ik in walibi. anderhalf meter worden er in de rij totaal niet houden door jong en oud ontsmetten van kar beuren ook niet iedereen zitten er aan. stellen iemand in de achtbaan hebben corona en schreeuwen dan krijgen diegene achter zich het waarschijnlijk in de mond. stadium mogen je ook niet schreeuwen ook vorig week als het regent gaan iedereen natuurlijk schuilen knus en wel naast elkaar. Er is in een park misschien veel ruimte maar dat zeggen totaal niet dat mens de 1.5 meter aanhouden er is ook bijna geen toezicht op. bij een klein snackbar ontsmetten de bediende en is er een duidelijk overzicht wie zich aan de regel houden. en komen er veel minder man over de vloer dan een pretpark. binnen 1 dag kunnen er veel corona besmetting in een pretpark ontstaan waar niet worden ontsmetten dan een klein snackbar met toezicht en een max van een aantal man binnen.
17,18,1000017.0,geen besmettingen in de eigen bubbel ....... zeg rutte heb je wel eens naar je eigen bubbel gekeken,geen besmetting in de eigen bubbel ....... zeggen rutten hebben je wel eens naar je eigen bubbel kijken
18,19,1000018.0,Hoe kan het dat men nu 6 maanden denkt dat er een crisis is men miljarden wil uitgeven aan het bestrijden van gevolgen van de maatregelen. Maar men heeft geen extra ziekenhuizen gebouwd of lonen voor zorgpersoneel omhoog te gooien zodat er meer mensen in zorg gaan werken.,hoe kunnen het dat men nu 6 maand denken dat er een crisis is men miljard willen uitgeven aan het bestrijden van gevolg van de maatregel. maar men hebben geen extra ziekenhuis bouwen of loon voor zorgpersoneel omhoog te gooien zodat er veel mens in zorg gaan werken.
19,20,1000019.0,22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen.,22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen.
20,21,1000020.0,Als we nu eerst even beginnen met de operatie s die gepland staan doorgang te laten geven dan zijn er minder doden te betreuren.,als we nu eerst even beginnen met de operatie s die plan staan doorgang te laten geven dan zijn er minder dood te betreuren.
21,22,1000021.0,Mooi dat dit belangrijke verhaal helemaal volgestampt zit met reclames. Dan weet je wel weer wat het belangrijkste is,mooi dat dit belangrijk verhaal helemaal volstampen zitten met reclame. dan weten je wel weer wat het belangrijk is
22,23,1000022.0,1:19:35 Dus je gaat met vertellen dat het oke is om 1500 kinderen op school elke dag aanwezig moeten zijn maar dat een horeca van 30 mensen dicht moet. Dit klopt gewoon niet,1:19:35 dus je gaan met vertellen dat het oke is om 1500 kind op school elk dag aanwezig moeten zijn maar dat een horeca van 30 mens dicht moeten. dit kloppen gewoon niet
23,24,1000023.0,Grondwet,grondwet
24,25,1000024.0,Deze gasten moeten hangen,deze gast moeten hangen
25,26,1000025.0,Elke dag 6-8 duizend besmettingen en relatief lage doden. Dat zegt best veel over o zo gevaarlijk virus,elk dag 6-8 duizend besmetting en relatief laag dood. dat zeggen best veel over o zo gevaarlijk virus
26,27,1000026.0,ja als verwarmings monteur dan maar de klant op bellen en uitleggen hoe die zelf zijn onderhoud moet doen snap het nu al,ja als verwarmings monteur dan maar de klant op bellen en uitleggen hoe die zelf zijn onderhoud moeten doen snappen het nu al
27,28,1000027.0,Valt het ook echt niemand op dat de eerste minuten de journalisten/media bijna op elkaar staan en gezellig zijn het lullen Als dit toch de meeste slapende mensen niet wakker gaat maken dan zijn ze rijp voor het Pieter Baan Centrum.,vallen het ook echt niemand op dat de een minuut de journalist/media bijna op elkaar staan en gezellig zijn het lullen als dit toch de veel slapen mens niet wakke gaan maken dan zijn ze rijp voor het Pieter Baan Centrum.
28,29,1000028.0,Ahhhh bang maken over een nieuwe koers,Ahhhh bang maken over een nieuw koers
29,30,1000029.0,Als het echt zou gaan om gezondheid waarom wordt er dan niets gedaan aan gezonde voeding en levens stijl. En stop je met de btw op verse groente en fruit per direct waar artsen al jaren om vragen. Waarom dan steeds weer belangenverstrengenling en onzinnige maatregelen zoals momdkapjes waarvam we al 7 maanden horen dat ze niet werken en we zeker geen medische mondkapjes mogen gebruiken die enig sinds wel kunnen werken. Need i say more,als het echt zullen gaan om gezondheid waarom worden er dan niets doen aan gezond voeding en leven stijl. En stoppen je met de btw op vers groente en fruit per direct waar arts al jaar om vragen. waarom dan steeds weer belangenverstrengenling en onzinnig maatregel zoals momdkapje waarvam we al 7 maand horen dat ze niet werken en we zeker geen medisch mondkap mogen gebruiken die enig sinds wel kunnen werken. Need i say more
30,31,1000030.0,10:43 has the best,10:43 has the best
31,32,1000031.0,En ja de efteling mag weer openblijven 15000 man per dag worden daar de atrackties ontsmet na elk ritje nee die hadden ze dicht moeten doen en de resturants open laten mafkezen,En ja de efteling mogen weer openblijven 15000 man per dag worden daar de atrackties ontsmetten na elk rit nee die hebben ze dicht moeten doen en de resturant open laten mafkezen
32,33,1000032.0,Ze hadden op z n minst de conferentie met mondkapje op kunnen geven,Ze hebben op z n weinig de conferentie met mondkap op kunnen geven
33,34,1000033.0,Start 7:15,Start 7:15
34,35,1000034.0,Bedankt NOS dat er hier gewoon gereageerd mag worden entertainment,bedanken NOS dat er hier gewoon reageren mogen worden entertainment
35,36,1000035.0,Ga je lekker hugo 1:13:00 die vent is niet gezond dat wisten we al echter zie het bewijs.,Ga je lekker hugo 1:13:00 die vent is niet gezond dat weten we al echter zien het bewijs.
36,37,1000036.0,Een dag geen angst is een dag niet geleefd --Caatje Caatje aan zee,een dag geen angst is een dag niet leven --Caatje Caatje aan zee
37,38,1000037.0,Lekker Kerst vieren in Zweden,lekker kerst vieren in Zweden
38,39,1000038.0,Leugen op leugen op leugen... eens zal de maat met deze heren terugmeten... gegarandeerd,leugen op leugen op leugen... eens zullen de maat met deze heer terugmijten... garanderen
39,40,1000039.0,Eerste land wat openstond voor toerisme in crisis tijden dan kun je naar mijn mening niemand meer de schuld geven behalve jezelf,een land wat openstaan voor toerisme in crisis tijd dan kunnen je naar mijn mening niemand veel de schuld geven behalve jezelf
40,41,1000040.0,Mogen we reageren van NOS Youtube Nou nee kijk maar met je telefoon dan zie je andere comments dan met pc.. En een heleboel niet E n verkeerd woord en je comment wordt ge- shadow banned En app je vrienden maar die zien ook weer andere comments. En als je Haa cee kju voluit spelt/schrijft ziet niemand je comment,mogen we reageren van NOS Youtube nou nee kijken maar met je telefoon dan zien je ander comments dan met pc.. En een heleboel niet E n verkeerd woord en je comment worden ge- shadow banned En app je vriend maar die zien ook weer ander comments. En als je Haa cee kju voluit spelt/schrijven zien niemand je comment
41,42,1000041.0,Jullie moeten ook in de deur afsluiten want jullie hebben ook Corona,jullie moeten ook in de deur afsluiten want jullie hebben ook Corona
42,43,1000042.0,Peppi & Cokey hebben gesproken,Peppi & Cokey hebben spreken
43,44,1000043.0,Gemuilkorfde staatsmongolen,muilkorven staatsmongool
44,45,1000044.0,Ach we kunnen nog gewoon afhalen niks aan de hand dus,ach we kunnen nog gewoon afhalen niks aan de hand dus
45,46,1000045.0,Als de directeur van het R.I.V.M Jaap van Dissel zegt dat het niet bewezen is dat gewone mondkappen iets bijdragen aan het verminderen of het verspreiden van het virus dan vraag ik me af waar halen ze die wijsheid vandaan Of laten ze zich leiden door enkele schreeuwers die graag gemuilkorfd willen worden,als de directeur van het R.I.V.M Jaap van Dissel zeggen dat het niet bewijs is dat gewoon mondkap iets bijdragen aan het verminderen of het verspreiden van het virus dan vragen ik me af waar halen ze die wijsheid vandaan Of laten ze zich leiden door enkel schreeuwer die graag muilkorven willen worden
46,47,1000046.0,intrekken van het geld wat nu naar de EU gestort moet worden aan landen en lekker uitdelen aan ondernemers eigen land en volk eerst lijkt mij,intrekken van het geld wat nu naar de EU storten moeten worden aan land en lekker uitdelen aan ondernemer eigen land en volk eerst lijken mij
47,48,1000047.0,Rutte alles op slot dan doe je het goed voor je vrienden allemaal en plestiekpak aan kan je kopen bij amazon,Rutte alles op slot dan doen je het goed voor je vriend allemaal en plestiekpak aan kunnen je kopen bij amazon
48,49,1000048.0,33:34 Waar gaan we die in steken dan 46:56 en die,33:34 waar gaan we die in steken dan 46:56 en die
49,50,1000049.0,Waarom is Irma niet hierrrr :,waarom is Irma niet hierrrr :
50,51,1000050.0,Ow ow youtube.,Ow ow youtube.
51,52,1000051.0,ZE PISSEN OP ONS EN WIJ ZEGGEN DAT HET REGENT,ZE pissen OP ons EN wij zeggen DAT het regent
52,53,1000052.0,Ooit zullen de feiten winnen van deze nsb praktijken,ooit zullen de feit winnen van deze nsb praktijk
53,54,1000053.0,Bruh zo veel ads,bruh zo veel ads
54,55,1000054.0,Neppe Likes ongeloofelijk dit,neppe Likes ongeloofelijk dit
55,56,1000055.0,Leuk verhaal gaan we niks mee doen,leuk verhaal gaan we niks mee doen
56,57,1000056.0,En dan gisteravond iedereen daar heeft lak aan alles. Het is wel in de Haag dus hoge heren daar ga nu eens op pad.,En dan gisteravond iedereen daar hebben lak aan alles. het is wel in de Haag dus hoog heer daar ga nu eens op pad.
57,58,1000057.0,23:18 2021 niet 2020,23:18 2021 niet 2020
58,59,1000058.0,22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen. ,22:18 ze zijn niet aan het dweilen. Ze zijn letterlijk aan het dansen. 
59,60,1000059.0,Alcohol ontsmet,alcohol ontsmetten
60,61,1000060.0,edwin72,edwin72
61,62,1000061.0,Als zitten meer besmettelijk is dan staan. Waarom is dat dan zo en welke verklaring zit hier achter Hoe zit het dan met de mensen op de fiets en rolstoel,als zitten veel besmettelijk is dan staan. waarom is dat dan zo en welk verklaring zitten hier achter hoe zitten het dan met de mens op de fiets en rolstoel
62,63,1000062.0,Losers. We zijn er allemaal ingetuind en wederom. Dit is absurd. Griep.leugenaars.,loser. We zijn er allemaal ingetuind en wederom. dit is absurd. Griep.leugenaar.
63,64,1000063.0,M h,M h
64,65,1000064.0,Gints ,gints 
65,66,1000065.0,Slap volk ,slap volk 
66,67,1000066.0,ha ha ha mark rutte goes BRRRRRRRRRRR,ha ha ha mark rutten goes BRRRRRRRRRRR
67,68,1000067.0,Rutte en de Jonge. Heel veel mensen hun banen verloren grondrechten worden afgepakt heel veel bedrijven kapot. Maar het raakt die ministers niet dus die kunnen blij lachen met hun maatregelen. bijstand gaat overstromen. New World.,Rutte en de Jonge. heel veel mens hun baan verlies grondrecht worden afpakken heel veel bedrijf kapot. maar het raken die minister niet dus die kunnen blij lachen met hun maatregel. bijstand gaan overstromen. New World.
68,69,1000068.0,Jules2020,Jules2020
69,70,1000069.0,1 Trending ,1 trending 
70,71,1000070.0,Hugo is je coke op,Hugo is je coke op
71,72,1000071.0,Maatregelen of niet dit virus laat zich niet tegenhouden. Beter de zorg opschalen maarja dat gaat niet meer zo makkelijk.,maatregel of niet dit virus laten zich niet tegenhouden. goed de zorg opschalen maarja dat gaan niet veel zo makkelijk.
72,73,1000072.0,Waarom,waarom
73,74,1000073.0,34 jaar lang al studeer ik geneeskunde en natuurgeneeskunde er zijn vele middelen in de natuur te vinden die uistekend werken bij virussen e.d. maar nee Hugo wil persee zijn vaccins er door drukken reden al miljoenen aan het contract uitgegeven,34 jaar lang al studeren ik geneeskunde en natuurgeneeskunde er zijn veel middel in de natuur te vinden die uistekend werken bij virus e.d. maar nee Hugo willen persee zijn vaccin er door drukken reden al miljoen aan het contract uitgeven
74,75,1000074.0,Woow woow,woow woow
75,76,1000075.0,Ouderen die eerst hun kousen aan moeten laten trekken door zorgmedewerkers die halen dat vroege tijdstip n it Om te gieren,oud die eerst hun kous aan moeten laten trekken door zorgmedewerker die halen dat vroeg tijdstip n it.Om te gieren
76,77,1000076.0,away fear mission like front direct neither affect locate. ,away fear mission like front direct neither affect locate. 
77,78,1000077.0,lol ,lol 
78,79,1000078.0,Wat heftig allemaal,wat heftig allemaal
79,80,1000079.0,Geen mondkapjesplicht en geen vaccinatieplicht. Dit is wat ze uiteindelijk wel willen doorbreken. Als dit maar lang genoeg gerekt word zal de meerderheid er zo zat van zijn dat ze het toch wel gaan doen...,geen mondkapjesplicht en geen vaccinatieplicht. dit is wat ze uiteindelijk wel willen doorbreken. als dit maar lang genoeg gerekt worden zullen de meerderheid er zo zitten van zijn dat ze het toch wel gaan doen...
80,81,1000080.0,Goede commentaren ik ben eigenwijs en dat zouden we allemaal moeten zijn nu wat een bullshit en imo vind ik zo snel nodig doorgaan en regering verwijderen,goed commentaar ik zijn eigenwijs en dat zullen we allemaal moeten zijn nu wat een bullshit en imo vinden ik zo snel nodigen doorgaan en regering verwijderen
81,82,1000081.0,We want Irma,We want Irma
82,83,1000082.0,Deze comments zijn geweldig,deze comments zijn geweldig
83,84,1000083.0,is maccie nog open,is maccie nog open
84,85,1000084.0,En wederom 1 grote spamzooi. De regering dwingt de horeca het faillisement in en is druk bezig met het kiezen van de volgende branche om te verzieken. Ze zeggen advies van experts op te volgen maar volgens het Outbreak Management Team had de horeca open kunnen blijven. Ze willen gewoon onschuldige bedrijfseigenaren de vernieling in helpen. Ik hoop dat er een enorme rechtzaak komt die de overheid dwingt miljoenen euros te betalen aan de gedupeerde bedrijven. Ze zeggen het virus een halt te willen toeroepen maar ze weigeren voldoende mensen te testen of een vaccin in te kopen. Het moet nu eindelijk afgelopen zijn met die destructieve nonsens. Regering afzetten. Nieuwe verkiezingen. En NOS: Kappen met spammen van misinformatie en propaganda. Jullie job is om kritische vragen te stellen en tot nu toe hebben we dat nog niet gezien.,En wederom 1 groot spamzooi. De regering dwingen de horeca het faillisement in en is druk bezig met het kiezen van de volgen branche om te verzieken. Ze zeggen advies van expert op te volgen maar volgens het outbreak Management team hebben de horeca open kunnen blijven. Ze willen gewoon onschuldig bedrijfseigenaar de vernieling in helpen. Ik hoop dat er een enorm rechtzaak komen die de overheid dwingen miljoen euros te betalen aan de duperen bedrijf. Ze zeggen het virus een halt te willen toeroepen maar ze weigeren voldoend mens te testen of een vaccin in te kopen. het moeten nu eindelijk aflopen zijn met die destructief nonsens. regering afzetten. nieuw verkiezing. En NOS: kappen met spam van misinformatie en propaganda. jullie job is om kritisch vragen te stellen en tot nu toe hebben we dat nog niet zien.
85,86,1000085.0,De w,De w
86,87,1000086.0,ze moeten jou plat slaan.,ze moeten jou plat slaan.
87,88,1000087.0,Jezus NOS hoeveel reclames kan je erin gooien,Jezus NOS hoeveel reclame kunnen je erin gooien
88,89,1000088.0,Jan Vaccin.,Jan Vaccin.
89,90,1000089.0,Game Over politiek Game Over media.. Game Over.. We doorzien de leugens en de zieke agenda s die jullie hebben. Vijanden van de mensheid. Er komen tribunalen,Game over politiek Game over media.. Game over.. We doorzien de leugen en de ziek agenda s die jullie hebben. vijand van de mensheid. Er komen tribunaal
90,91,1000090.0,699k weergaven NICE ,699k weergave NICE 
91,92,1000091.0,Waar heeft hij het over de mondkapjes plicht ik kan het niet vinden,waar hebben hij het over de mondkap plicht ik kunnen het niet vinden
92,93,1000092.0,Die cijfers zijn niet terug te vinden bij het RIVM Waar halen ze die cijfers vandaan,die cijfer zijn niet terug te vinden bij het RIVM waar halen ze die cijfer vandaan
93,94,1000093.0,Noodwet Staatsgreep.,Noodwet Staatsgreep.
94,95,1000094.0,Zie die smeerlap lachen/grijnzen elke keer als hij het woordje virus uitbrengt,zien die smeerlap lachen/grijnzen elk keer als hij het woord virus uitbrengen
95,96,1000095.0,1 Trending,1 trending
96,97,1000096.0,niet,niet
97,98,1000097.0,Oufffff opluchting coffeeshop blijven open voor afhalan.. Bravo dankje ,oufffff opluchting coffeeshop blijven open voor afhalan.. Bravo dankje 
98,99,1000098.0,Agenda,agenda
99,100,1000099.0,You think i m funny voor diegene die geen schapen zijn maar toch ook moeten winkelen gebruik een sjaal als vervanging voor die mond-luier.,You think i m funny voor diegene die geen schaap zijn maar toch ook moeten winkelen gebruiken een sjaal als vervanging voor die mond-luier.
100,101,1000100.0,Wat ons dood is angst ,wat ons dood is angst 
101,102,1000101.0,Ik hoop gewoon dat we dit schooljaar geen examens gaan maken want de 4de jaars van vorig jaar hadden kapot veel geluk ze hoeften geen examens te maken,Ik hoop gewoon dat we dit schooljaar geen examen gaan maken want de 4de jaars van vorig jaar hebben kapot veel geluk ze hoeften geen examen te maken
102,103,1000102.0,Ik brei mondkapjes.....lekker ...vrijmazig... Adem in..adem uit,Ik brei mondkap.....lekker ...vrijmazig... ademen in..adem uit
103,104,1000103.0,Jammer dat de corona er is,jammer dat de corona er is
104,105,1000104.0,Htd ,htd 
105,106,1000105.0,Niemand heeft het over 1:13:00 Hugo wordt zwaar gemindcontrolled of zit gewoon aan de snuif. MK Ultra,niemand hebben het over 1:13:00 Hugo worden zwaar gemindcontrolled of zitten gewoon aan de snuiven. MK ultra
106,107,1000106.0,Rutte en de jonge hebben aandelen bij doe dezelf zaken ik weet het zeker ze hebben het steeds over een hamer,Rutte en de jong hebben aandeel bij doen dezelf zaak ik weten het zeker ze hebben het steeds over een hamer
107,108,1000107.0,500k Lets go,500k Lets go
108,109,1000108.0,Wie nu nog geloofd dat we een virus vechten moet echt opgenomen worden Bekijk de grafieken en de cijfers van het RIVM en de WHO IFR 0.13 en je ziet dat we genaaid worden. Het RIVM is nog steeds tegen de zin van de mondkapjes zoals ze steeds vaker een h l klein beetje aan het opschuiven zijn. Maar niet getreurd daar is het RED TEAM dit TEAM schuif erin waar het RIVM eruit schuift. ALLES IS GE NSCENEERD het script loopt op rolletjes. Ook is de groep die KRITISCH DENKT voorgoed tegen de meelopers opgezet. We hebben te lang thuisgezeten. Ook nu zal de horeca NIET opstaan. Omdat ze de horeca precies een maand moeten sluiten. zullen ze er alles aan doen om deze maand te overbruggen en met veel pijn en moeite en het laatste restje spaargeld gebruiken. Ze houden zich dus gedeisd . De spoedwet zal rond de verkiezingen aflopen dus komt er vanuit de politiek de belofte dat wanneer je op de VVD of het CDA stemt de spoedwet zal worden be indigd of elke andere variant. We komen hier niet meer uit zonder daadwerkelijk een halt toe te roepen aan deze waanzin en polarisatie. Ik ben benieuwd,wie nu nog geloven dat we een virus vechten moeten echt opnemen worden bekijken de grafiek en de cijfer van het RIVM en de WHO IFR 0.13 en je zien dat we naaien worden. het RIVM is nog steeds tegen de zin van de mondkap zoals ze steeds vaak een h l klein beet aan het opschuiven zijn. maar niet treuren daar is het RED TEAM dit TEAM schuiven erin waar het RIVM eruit schuiven. alles IS GE nsceneerd het script lopen op rol. ook is de groep die kritisch DENKT voorgoed tegen de meeloper opzetten. We hebben te lang thuisgezeten. ook nu zullen de horeca niet opstaan. omdat ze de horeca precies een maand moeten sluiten. zullen ze er alles aan doen om deze maand te overbruggen en met veel pijn en moeite en het laten rest spaargeld gebruiken. Ze houden zich dus deizen . De spoedwet zullen rond de verkiezing aflopen dus komen er uit de politiek de belofte dat wanneer je op de VVD of het CDA stemmen de spoedwet zullen worden be indigd of elk ander variant. We komen hier niet veel uit zonder daadwerkelijk een halt toe te roepen aan deze waanzin en polarisatie. Ik zijn benieuwd
109,110,1000109.0,virus.,virus.
110,111,1000110.0,Tja dat heb je ervan als je de deuren grenzen wagenwijd open zet.,tja dat hebben je ervan als je de deur grens wagenwijd open zetten.
111,112,1000111.0,Advies: UNSUBSCRIBE,advies: UNSUBSCRIBE
112,113,1000112.0,Wat ik niet begrijp is dat restaurants moeten sluiten terwijl ze zich goed aan de corona voorschriften hielden. Waar zijn die economie verpesters als Rutte en de Jong nou helemaal mee bezig,wat ik niet begrijpen is dat restaurant moeten sluiten terwijl ze zich goed aan de corona voorschrift houden. waar zijn die economie verpesters als Rutte en de Jong nou helemaal mee bezig
113,114,1000113.0,Wanneer krijgen we ons geld van de Grieken ,wanneer krijgen we ons geld van de Grieken 
114,115,1000114.0,HOE MAAK JE EEN LAND WAAR MENSEN HUN HART EN ZIEL IN HEBBEN GESTOKEN VOOR EEN MOOIE TOEKOMST KAPOT IN EEN PAAR MAANDEN. NOU ZO DUS RUTTE BETAAL JIJ DE REKENINGEN VAN ONS,hoe maak JE een land waar mens hun hart EN ziel IN hebben steken voor een mooi toekomst KAPOT IN een paar maand. NOU ZO DUS RUTTE BETAAL JIJ DE rekening van ons
115,116,1000115.0,Zzzzz ,Zzzzz 
116,117,1000116.0,Moppet show...,moppet show...
117,118,1000117.0,Wanneer volgende persconferentie ,wanneer volgen persconferentie 
118,119,1000118.0,And when you trust your television. What you get is what you got. Because when they own the information oh. They can bend it all they want,And when you trust your television. What you get is what you got. Because when they own the information oh. They ca. zijn. it.all they want
119,120,1000119.0,Mag ik nog met meer dan 4 mensen in de klas zitten,mogen ik nog met veel dan 4 mens in de klas zitten
120,121,1000120.0,Waarom moet je 1 5 meter afstand nemen om de ander de ruimte te geven waarom wordt dan de ruimte beperkt in de gebouwen en op straat looproutes hindernissen,waarom moeten je 1 5 meter afstand nemen om de ander de ruimte te geven waarom worden dan de ruimte beperken in de gebouw en op straat looproutes hindernis
121,122,1000121.0,Geen school,geen school
122,123,1000122.0,9:30 mijn voorhoofd doet nogsteeds pijn,9:30 mijn voorhoofd doen nogsteeds pijn
123,124,1000123.0,betaald he..,betalen he..
124,125,1000124.0,Als het virus even gevaarlijk is voor iedereen. Waarom worden er dan uitzonderingen gemaakt voor de maatregelen,als het virus even gevaarlijk is voor iedereen. waarom worden er dan uitzondering maken voor de maatregel
125,126,1000125.0,Het wordt straks verplicht,het worden straks verplichten
126,127,1000126.0,D ,D 
127,128,1000127.0,FCB ,FCB 
128,129,1000128.0,Konden de eerste 7 minuten er niet uit geknipt worden ,kunnen de een 7 minuut er niet uit knippen worden 
129,130,1000129.0,Kan Hugo nog een keer uitleggen wat exponenti le groei nou precies is En wat is hier het gevaar van,kunnen Hugo nog een keer uitleggen wat exponenti le groei nou precies is En wat is hier het gevaar van
130,131,1000130.0,kennismaking van het virus in je neus keel en mond zal gewoon nooit stoppen. Deze 3 delen van zijn enorm sterke afweermechanisme. PCR is een fars,kennismaking van het virus in je neus keel en mond zullen gewoon nooit stoppen. deze 3 delen van zijn enorm sterke afweermechanisme. PCR is een far
131,132,1000131.0,nos journaal de boven de 18 gaan de wedstrijd toch niet door aleen maar jughd voetbal gaat wel toch door,nos journaal de boven de 18 gaan de wedstrijd toch niet door aleen maar jugh voetbal gaan wel toch door
132,133,1000132.0,En bizuk bai kindere,En bizuk bai kindere
133,134,1000133.0,Waarom zijn kinderen onder 13 niet besmetelijk en kunnen die niks overdtagen,waarom zijn kind onder 13 niet besmetelijk en kunnen die niks overdtagen
134,135,1000134.0,Jdjd ,jdjd 
135,136,1000135.0,Nja het was toch nog even gezellig om met mijn verloofde uit eten te gaan een paar weken geleden. Blij dat we dat nog hebben kunnen doen.,nja het zijn toch nog even gezellig om met mijn verloofde uit eten te gaan een paar week geleden. blij dat we dat nog hebben kunnen doen.
136,137,1000136.0,Zwakke ambtenaartjes met hun angst zaaien. ,zwak ambtenaar met hun angst zaaien. 
